nome,preco,classificado,categoria,site,data_raspagem
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#1,books,Amazon,2024-11-18 22:20:03
A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,"R$ 40,82",#2,books,Amazon,2024-11-18 22:20:03
Como fazer amigos e influenciar pessoas,"R$ 28,00",#3,books,Amazon,2024-11-18 22:20:03
Depois daquele verão,"R$ 30,40",#4,books,Amazon,2024-11-18 22:20:04
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,30",#5,books,Amazon,2024-11-18 22:20:04
O Deus que destrói sonhos,"R$ 20,90",#6,books,Amazon,2024-11-18 22:20:04
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 30,96",#7,books,Amazon,2024-11-18 22:20:04
Perigoso!,"R$ 13,80",#8,books,Amazon,2024-11-18 22:20:04
Os sete maridos de Evelyn Hugo,"R$ 25,14",#9,books,Amazon,2024-11-18 22:20:04
Ainda estou aqui - O livro que deu origem ao filme,"R$ 49,89",#10,books,Amazon,2024-11-18 22:20:04
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 32,97",#11,books,Amazon,2024-11-18 22:20:05
"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada","R$ 36,88",#12,books,Amazon,2024-11-18 22:20:05
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 44,90",#13,books,Amazon,2024-11-18 22:20:05
O homem mais rico da Babilônia,"R$ 24,40",#14,books,Amazon,2024-11-18 22:20:05
Minhas 100 primeiras palavras,"R$ 9,75",#15,books,Amazon,2024-11-18 22:20:05
Princípios milenares: 10 leis espirituais para uma vida de paz e prosperidade,"R$ 37,67",#16,books,Amazon,2024-11-18 22:20:05
Fisher-Price - Kit Coleção Como é Bom,"R$ 31,35",#17,books,Amazon,2024-11-18 22:20:05
101 primeiros desenhos,"R$ 5,99",#18,books,Amazon,2024-11-18 22:20:05
Manual de persuasão do FBI,"R$ 27,99",#19,books,Amazon,2024-11-18 22:20:05
O pobre de direita: A vingança dos bastardos,"R$ 55,59",#20,books,Amazon,2024-11-18 22:20:06
Como falar em público e encantar as pessoas,"R$ 25,18",#21,books,Amazon,2024-11-18 22:20:06
Um tempo pra mim: 10 minutos diários de autocuidado mental,"R$ 77,56",#22,books,Amazon,2024-11-18 22:20:06
Verity,"R$ 34,70",#23,books,Amazon,2024-11-18 22:20:06
Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,"R$ 33,93",#24,books,Amazon,2024-11-18 22:20:06
O Morro dos Ventos Uivantes - Edição de Luxo Almofadada,"R$ 19,96",#25,books,Amazon,2024-11-18 22:20:06
Não é como nos filmes: (Melhor do que nos filmes – vol. 2),"R$ 55,25",#26,books,Amazon,2024-11-18 22:20:06
