nome,preco,classificado,categoria,site,data_raspagem
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Preta,"R$ 280,31",#1,electronics,Amazon,2024-11-22 18:22:47
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Preta,"R$ 219,00",#2,electronics,Amazon,2024-11-22 18:22:47
"Fire TV Stick HD | Com controle remoto por voz com Alexa (inclui comandos de TV), controles de casa inteligente e streaming em HD","R$ 249,00",#3,electronics,Amazon,2024-11-22 18:22:47
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Branca,"R$ 207,29",#4,electronics,Amazon,2024-11-22 18:22:47
Fire TV Stick Lite | Streaming em Full HD com Alexa | Com Controle Remoto Lite por Voz com Alexa (sem controles de TV),"R$ 229,00",#5,electronics,Amazon,2024-11-22 18:22:47
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Branca,"R$ 299,00",#6,electronics,Amazon,2024-11-22 18:22:47
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Azul,"R$ 299,00",#7,electronics,Amazon,2024-11-22 18:22:47
Apple iPhone 14 Plus (128 GB) – Meia-Noite,"R$ 4.394,51",#8,electronics,Amazon,2024-11-22 18:22:48
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Grafite","R$ 279,90",#9,electronics,Amazon,2024-11-22 18:22:48
Duracell Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,"R$ 67,90",#10,electronics,Amazon,2024-11-22 18:22:48
Novo Echo Spot com Alexa (2024) | Despertador inteligente com som vibrante | Cor Preta,"R$ 449,00",#11,electronics,Amazon,2024-11-22 18:22:48
"Novo Echo Show 8 (3ª geração) | Smart display com áudio espacial, hub de casa inteligente e Alexa | Cor Preta","R$ 999,00",#12,electronics,Amazon,2024-11-22 18:22:48
"DURACELL - Pilha Alcalina AAA, Palito com 16 unidades","R$ 67,90",#13,electronics,Amazon,2024-11-22 18:22:48
"Pilha Alcalina, Elgin, Palito AAA, Blister com 4","R$ 6,66",#14,electronics,Amazon,2024-11-22 18:22:48
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","R$ 989,00",#15,electronics,Amazon,2024-11-22 18:22:49
"JBL, Fone de Ouvido in Ear, C50HI - Preto","R$ 41,90",#16,electronics,Amazon,2024-11-22 18:22:49
Filtro de Linha Clamper Energia 5 Transparente LCF,"R$ 57,99",#17,electronics,Amazon,2024-11-22 18:22:49
